LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ITA,17947.3489122302,18437.5869725276,18886.7227918462,19165.2243724578,19666.516564881,21229.2584851048,22056.9169830186,23210.1145111271,23305.2709590413,23880.4576227041,23955.0169401138,25102.995908957,26195.9001315549,27278.6877676168,26562.256321884,27571.6356941691,27784.7962102831,27218.0306179349,27534.8619152625,27373.3502265311,27712.0793376367,29475.2915213786,30434.9588642575,31469.1369477447,33054.1437837611,33039.7578187711,34271.6968563114
JPN,16737.5594969423,17137.5743014069,17604.8182444825,17790.3344591256,18042.1177988147,19175.5305957314,19243.8092137803,20193.9600566045,20868.0435531989,21749.9816579794,23049.1747820827,23987.060721737,24916.3811313874,25393.9388735172,25581.2188418266,26402.0212615495,27299.6736016452,28447.4277034279,30474.3522723057,30032.2094939555,30597.0276338189,29290.3455991883,29915.5926235433,30777.8603550409,30911.0332837722,32638.6058380954,
KOR,10665.4399637435,11475.7942825158,11775.0354692582,11662.3271109476,11982.7123721966,12496.0517109874,13034.2639175525,13878.621965121,14261.1356194314,15244.0552955068,15814.9967154735,16656.6588349274,17814.6029344014,18514.726674674,18642.4285182529,19674.9886129723,20438.864741522,21244.0412479003,21573.3199078738,21915.9557767694,23958.2968282339,24190.5977330586,24484.53503831,25736.626905859,26307.1510755428,27892.9962814857,28993.8690176586
LTU,4830.0325558615,5136.53119996183,5773.23923374346,6445.25762679165,6904.85216568377,7428.43854243499,7962.01364599587,9060.93020855852,10024.1464639513,11599.4369502705,12045.4504794737,13327.5711740671,13959.6065670771,15823.2323336808,15040.6753266551,16206.7324319268,17293.5748328713,18333.5478353043,19736.4197762918,20332.6277580693,21186.4224513898,23290.2509387044,24464.7840278734,25808.3818038189,28781.6273385988,30627.5994248872,30861.5502254986
LUX,21933.0854685281,22215.8405998417,23515.4098646593,24250.3117913846,26252.7882866579,29560.7293099722,30833.0976677427,34486.6952779415,34355.1012682942,34446.8417153969,34372.8540197719,36305.2690528031,36911.9484525478,38702.354925876,38479.5780328517,37908.7317871261,39248.2889605426,40660.6660862493,43403.071752342,43282.8569417899,43476.1403979943,44505.6035513456,46535.0945475953,48794.2367830408,50089.0884375574,50849.6521113135,51445.007789178
LVA,3802.95209526332,4147.78687726574,4933.22017051607,5084.25624382504,5307.18227594566,6209.22222585731,6807.93394499195,7893.62023288094,8426.76468750649,9408.73026261794,10330.0373972787,11847.3031974547,13236.4590278681,14681.8275756788,12783.556847413,13304.413241548,13227.5267602783,14457.2565638527,15351.1414007683,16226.3362357635,17350.2032922342,18769.0733832418,19936.9326307317,21259.527297963,22763.5651846566,23593.7307326476,25724.5437956743
MEX,,,,,,,,,9520.13568668976,10162.4717654714,10469.4280437987,11533.1866504997,11899.969067255,12568.1671610104,12607.3875564754,13016.8702053182,14019.8091539272,14254.2918795463,14573.6425110202,15097.5994696487,16019.1715816302,17120.3791390193,16924.6331971956,17156.3583981616,17317.8419604204,16387.6008036953,
NLD,16292.5877154347,16964.9222436718,17911.9212709824,18873.9770915316,19896.8481690737,22257.5658794541,23851.0531877664,25565.105484979,24509.6700431804,25478.5646603806,25671.3513664824,27661.4642182245,29186.9552493999,30385.7648249351,30119.9090343819,29940.7993628073,30360.1041808595,31072.643726386,31685.5544464571,31934.9987011428,32193.9574422192,33258.2891477411,34379.9581297719,36263.6231113921,38038.3751109645,39697.7752877165,41353.0074080237
NOR,15534.2703002649,16516.9465754938,17226.0510470803,18199.8233039739,18708.5944471102,20394.003670892,20682.3687633077,23282.077240353,23980.4910330301,25343.4451845323,26801.4282056399,26352.5062235816,28472.7707358287,29771.4802570184,30493.3936321849,31285.57223324,32289.3983727829,33725.7539408297,35724.0413015554,36443.7520099028,36413.9307472056,36928.7868422497,39220.6264890483,40450.1254202558,41849.3056413406,42146.6194296011,44285.2397932752
NZL,,,,13905.0286473495,14919.6974335955,14707.9804085514,15551.0056536384,15609.5069470164,16373.1741760952,17374.7492821246,17600.1476417317,19104.7566973842,20622.430444128,21181.8124509348,21493.445565578,22208.6179978369,23343.7015402789,23864.9975499336,24794.4400239715,24986.6895967349,25507.7308466571,27383.1380016027,28766.3469770512,29567.1757453887,32605.617979767,,
