State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New Jersey,6932.0,6682.0,7874.0,8849.0,10456.0,10422.0,11168.0,13204.0,16711.0,17226.0,20583.0,26441.0,27577.0,28845.0,29568.0,30215.0,29107.0,28732.0,31027.0,36747.0,44373.0,46674.0,45175.0,41304.0,39659.0,41172.0,43623.0,41507.0,44993.0,47111.0,50057.0,49257.0,48745.0,49390.0,48544.0,47652.0,42459.0,39673.0,35720.0,33540.0,32298.0,33094.0,32252.0,31488.0,30943.0,30919.0,30550.0,28544.0,28351.0,27113.0,27055.0,27203.0,25727.0,25674.0,23346.0,22879.0,21914.0,20604.0,18537.0,18375.0
New Mexico,1360.0,1278.0,1338.0,1376.0,1613.0,2047.0,2221.0,2325.0,2543.0,2881.0,3093.0,3994.0,4598.0,5219.0,5053.0,6134.0,6475.0,5961.0,6402.0,7272.0,7967.0,8913.0,9982.0,9608.0,9798.0,10207.0,10731.0,9427.0,9938.0,10755.0,11821.0,12922.0,14781.0,15024.0,14708.0,13804.0,14399.0,14762.0,16700.0,14520.0,13786.0,14288.0,13719.0,12535.0,13081.0,12448.0,12797.0,13311.0,12967.0,12709.0,12147.0,11904.0,11660.0,12782.0,12459.0,13681.0,14619.0,16359.0,17949.0,17450.0
New York,,,,,,58802.0,62561.0,75124.0,98515.0,105870.0,124613.0,145048.0,138542.0,135468.0,145427.0,155187.0,156988.0,149087.0,149257.0,161906.0,180235.0,188178.0,174833.0,161489.0,162157.0,165365.0,175210.0,179691.0,196396.0,203042.0,212458.0,210184.0,203311.0,195352.0,175433.0,152683.0,132206.0,124890.0,115915.0,107147.0,105111.0,98022.0,95030.0,89486.0,84914.0,85839.0,84016.0,79962.0,77546.0,75110.0,76492.0,77463.0,79610.0,77372.0,75398.0,75165.0,74285.0,70799.0,68495.0,69764.0
North Carolina,10182.0,9275.0,9533.0,10038.0,12345.0,12755.0,14775.0,15995.0,18025.0,18117.0,18814.0,19952.0,22087.0,23086.0,26220.0,23791.0,22061.0,22492.0,23054.0,25009.0,26589.0,25986.0,26865.0,24911.0,24885.0,26327.0,30128.0,31039.0,32753.0,35902.0,41332.0,44355.0,46600.0,47178.0,46308.0,46508.0,43068.0,45071.0,43723.0,41474.0,40051.0,40465.0,39118.0,38243.0,38244.0,40650.0,42088.0,42231.0,43125.0,37946.0,34679.0,33421.0,34464.0,33700.0,32767.0,34852.0,37769.0,37364.0,39210.0,38995.0
North Dakota,90.0,160.0,128.0,182.0,229.0,223.0,231.0,185.0,173.0,220.0,211.0,238.0,290.0,389.0,319.0,337.0,462.0,438.0,437.0,403.0,352.0,444.0,414.0,365.0,368.0,322.0,348.0,382.0,392.0,417.0,472.0,415.0,530.0,522.0,522.0,556.0,541.0,559.0,570.0,424.0,523.0,505.0,496.0,508.0,558.0,706.0,1255.0,1343.0,1441.0,1723.0,1548.0,1699.0,1712.0,1954.0,1960.0,1812.0,1903.0,2125.0,2133.0,2169.0
Ohio,8120.0,7986.0,8366.0,9086.0,11582.0,12788.0,15626.0,19344.0,21228.0,26648.0,30279.0,32159.0,32286.0,31304.0,39094.0,43901.0,41553.0,43521.0,44357.0,49092.0,53646.0,53509.0,47126.0,42759.0,41430.0,41000.0,45260.0,45436.0,49144.0,51109.0,54904.0,61460.0,57935.0,55915.0,53930.0,53799.0,47896.0,48706.0,40628.0,35616.0,37935.0,40023.0,40128.0,38185.0,38787.0,40162.0,41491.0,40759.0,40436.0,38305.0,36306.0,35218.0,34595.0,33121.0,33030.0,33898.0,34877.0,34683.0,32723.0,34269.0
Oklahoma,2258.0,2437.0,2478.0,2808.0,3609.0,3339.0,3552.0,3703.0,4473.0,4775.0,5194.0,6719.0,6289.0,6556.0,7588.0,8225.0,7926.0,8899.0,10165.0,11719.0,12589.0,13223.0,14103.0,13964.0,13438.0,13930.0,14423.0,13664.0,14179.0,15847.0,17222.0,18533.0,20005.0,20512.0,21225.0,21770.0,19710.0,18560.0,18053.0,17066.0,17177.0,17726.0,17587.0,17758.0,17635.0,18044.0,17905.0,18234.0,19359.0,18560.0,18100.0,17311.0,17902.0,16989.0,15744.0,16506.0,17648.0,17934.0,18380.0,17086.0
Oregon,1232.0,1242.0,1461.0,1393.0,2009.0,2290.0,2470.0,3147.0,3955.0,4527.0,5373.0,6335.0,6494.0,6512.0,8326.0,10034.0,10654.0,10830.0,12278.0,13781.0,12802.0,12671.0,12529.0,12986.0,13533.0,14807.0,14830.0,14697.0,14959.0,14625.0,14405.0,14795.0,15189.0,15254.0,16067.0,16408.0,14837.0,14412.0,13778.0,12432.0,12000.0,10650.0,10298.0,10506.0,10724.0,10444.0,10534.0,11015.0,9909.0,9968.0,9648.0,9643.0,9653.0,9984.0,9224.0,10468.0,10830.0,11674.0,11966.0,11995.0
Pennsylvania,11203.0,11223.0,11856.0,12678.0,14162.0,16384.0,15169.0,16119.0,20710.0,22887.0,25970.0,31917.0,33052.0,32397.0,37281.0,38933.0,34985.0,33328.0,35381.0,39133.0,43032.0,44104.0,42767.0,40782.0,38154.0,39240.0,42629.0,44087.0,43534.0,45586.0,51213.0,53824.0,51276.0,50295.0,51425.0,51586.0,57905.0,53140.0,50470.0,50431.0,51584.0,50432.0,49578.0,49210.0,50998.0,52761.0,55028.0,51806.0,51044.0,48188.0,46612.0,46189.0,44503.0,42849.0,40164.0,40339.0,40447.0,40120.0,39192.0,39228.0
Rhode Island,316.0,372.0,402.0,500.0,578.0,722.0,849.0,1156.0,1254.0,1594.0,1944.0,2129.0,2424.0,2749.0,2651.0,2802.0,2779.0,2820.0,3255.0,3485.0,3864.0,4205.0,3849.0,3392.0,3220.0,3355.0,3271.0,3547.0,3947.0,3772.0,4334.0,4638.0,3965.0,4017.0,3744.0,3643.0,3437.0,3292.0,3084.0,2840.0,3121.0,3278.0,3051.0,3074.0,2673.0,2710.0,2460.0,2424.0,2656.0,2678.0,2709.0,2586.0,2651.0,2705.0,2313.0,2562.0,2524.0,2460.0,2317.0,2342.0
South Carolina,3424.0,3318.0,3012.0,4075.0,4240.0,4504.0,5844.0,6015.0,5853.0,6449.0,7412.0,8188.0,10312.0,10757.0,12688.0,14412.0,17065.0,18297.0,18604.0,19889.0,20225.0,20275.0,23061.0,20133.0,20607.0,21121.0,22789.0,22773.0,25889.0,28576.0,34050.0,34621.0,34029.0,37281.0,37756.0,36067.0,36875.0,37235.0,34647.0,32920.0,33225.0,33114.0,33761.0,33455.0,33160.0,32590.0,33322.0,34630.0,32746.0,30799.0,27923.0,27894.0,26397.0,24278.0,24052.0,24700.0,24896.0,25432.0,24825.0,26323.0
