Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
"Dominican Republic",11.6666666666667,16.1073825503356,16.1073825503356,16.1073825503356,16.1073825503356,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,19.6629213483146,19.6629213483146,19.6629213483146,19.6629213483146,20.7650273224044,20.7650273224044,20.7650273224044,20.7650273224044,20.7650273224044,20.7650273224044,26.8421052631579,26.8421052631579,26.8421052631579,26.8421052631579,27.8947368421053,27.8947368421053
"Algeria",3.15789473684211,3.15789473684211,3.15789473684211,3.42105263157895,3.42105263157895,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,7.7120822622108,7.7120822622108,7.7120822622108,7.7120822622108,7.96915167095116,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,25.7575757575758,25.7575757575758,25.7575757575758,25.7575757575758,8.10810810810811
"East Asia & Pacific (excluding high income)",NaN,17.5504843211296,18.5430463576159,17.2774869109948,17.5699440447642,18.1673812926791,16.812303390423,17.1485696708705,17.2524449877751,17.6120842037602,17.9878523594456,18.2508916111025,18.5070943861814,17.8964353821329,17.8854752632338,18.1948629645573,19.2726231386025,19.0178571428572,19.7146759751101,19.8510796723753,20.1099064310114,20.6068640447783,20.8374593294667,21.5078564220845,21.5386791118654
"Early-demographic dividend",8.33144411698028,8.84310618066561,8.80897791721974,9.67302452316076,9.52161913523459,11.0885504794134,11.2659115966723,12.145948072384,12.8868828297716,13.4315670161519,14.7212039359444,15.5450936951906,16.9882437404649,17.4212084276511,17.5577970186557,19.2942010994857,20.0692707331153,21.0731795896132,22.1625127397387,22.3453212885631,22.305376344086,22.7895939532431,22.948551664505,24.4509129399312,24.279359430605
"East Asia & Pacific",NaN,16.0468319559229,16.8456071374566,16.357597564351,16.5537270087125,17.2167587228883,16.0696008188332,16.6253425551351,16.9089021541656,17.2857917570499,17.7502307793749,17.9584866001051,18.3339871845168,17.7694235588972,17.6986775429489,17.8567039449429,18.8274254875506,18.5955127392572,19.2873741285825,19.4261880687563,19.810606060606,20.2357071213641,20.5038149448952,21.3300492610837,21.3844850538545
"Europe & Central Asia (excluding high income)",6.27030539311241,6.77496038034864,NaN,7.30279021701688,8.93362692670651,NaN,9.24819125511167,10.8673978065803,10.7958251793868,11.5192477225977,14.3105446118192,14.5010551703346,15.3512575888985,15.4352806414662,16.2231759656652,17.846944603084,18.1012296253932,18.5558112773303,18.5163887291547,19.0901238122661,20.3768115942029,20.7833047455689,22.7051758650272,23.7249283667622,24.9133949191686
"Europe & Central Asia",14.5112781954887,15.1596272060282,16.0555729656325,16.562282533055,16.5375897242161,18.3352674332735,17.7636570561457,18.8124575531192,19.16161998486,19.532967032967,21.0099352839304,21.3488329181659,21.8946218946219,21.9934699800472,22.7041742286751,23.7507877914828,24.7976254722072,25.3484959647836,25.743119266055,26.0058791107845,27.3847852083525,27.9538376992123,29.4559443121451,30.2941445981856,31.1337182659701
"Ecuador",3.65853658536585,17.3553719008264,17.3553719008264,14.6341463414634,14.6341463414634,NaN,16,16,16,25,25,25,32.258064516129,32.258064516129,32.258064516129,32.258064516129,38.6861313868613,41.6058394160584,41.6058394160584,41.6058394160584,37.956204379562,37.956204379562,37.956204379562,39.4160583941606,39.4160583941606
"Egypt, Arab Rep.",1.98237885462555,1.98237885462555,1.98237885462555,1.98237885462555,2.42290748898678,2.42290748898678,2.42290748898678,2.86343612334802,1.98237885462555,2.03619909502262,1.80995475113122,1.80995475113122,1.76211453744493,12.6953125,1.96850393700787,1.96850393700787,NaN,NaN,NaN,14.9328859060403,14.9328859060403,14.9328859060403,14.9328859060403,27.4111675126904,27.7027027027027
"Euro area",16.8688487067979,17.0290684367132,18.281885618569,19.3314633006078,19.1294387170676,19.0823015294974,20.690459528808,21.7050465458109,22.1601489757914,23.0394431554524,24.652133580705,24.9594438006953,25.4625346901018,25.3237742830712,26.0467268100856,27.4242073594075,29.9653979238754,30.1107521919705,30.1960784313726,30.3212387335336,31.2130849613812,31.9700068166326,33.3711949114039,33.8555858310627,34.5971563981043
"Eritrea",20.952380952381,20.952380952381,14.6666666666667,14.6666666666667,14.6666666666667,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,NaN,NaN
"Spain",24.7126436781609,24.7126436781609,21.551724137931,28.2857142857143,28.2857142857143,28.2857142857143,28.2857142857143,36,36,36,36.5714285714286,36.2857142857143,36.5714285714286,36.5714285714286,36,36,36,39.7142857142857,41.1428571428571,39.1428571428571,39.1428571428571,39.1428571428571,44,44,43.4285714285714
"Estonia",10.8910891089109,10.8910891089109,17.8217821782178,17.8217821782178,17.8217821782178,17.8217821782178,18.8118811881188,18.8118811881188,18.8118811881188,18.8118811881188,20.7920792079208,20.7920792079208,22.7722772277228,22.7722772277228,19.8019801980198,20.7920792079208,20.7920792079208,19,23.7623762376238,23.7623762376238,26.7326732673267,26.7326732673267,29.7029702970297,28.7128712871287,25.7425742574257
"Ethiopia",2.04841713221601,2.04841713221601,2.02578268876611,7.69230769230769,7.6782449725777,7.6782449725777,7.6782449725777,7.6782449725777,21.4285714285714,21.9281663516068,21.9281663516068,21.9281663516068,21.9281663516068,27.7879341864717,27.7879341864717,27.7879341864717,27.7879341864717,27.7879341864717,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,42.5882352941177
"European Union",17.0148805050353,17.0599729445363,17.9947392851617,19.5739227935288,19.5504926108374,20.2830922382952,21.3775985107043,22.072425145007,22.1783980582524,22.8848191312245,23.8765320018157,24.1535671100363,24.4679245283019,24.377358490566,25.1133272892112,26.0376231710958,27.6817640047676,28.2405276882957,28.2665438354061,28.2859338970023,29.7895222000307,30.5162876459742,31.8174834844062,32.4066963600061,32.7214318494722
"Fragile and conflict affected situations",NaN,NaN,NaN,8.23356950891766,8.4013751611517,9.7818092669772,9.29351459772677,10.0407846183725,12.088915956151,13.3425034387896,13.5692307692308,13.5213414634146,13.2788559754852,14,15.2262751627062,15.7961603613778,17.056176513282,16.3172975418489,18.8976377952756,18.7322342239909,19.1318546741053,18.9147286821706,19.149855907781,20.7117763861311,21.65090021361
"Finland",33.5,33.5,37,36.5,36.5,36.5,37.5,37.5,37.5,38,41.5,41.5,40,40,42.5,42.5,42.5,42.5,41.5,41.5,42,42,47,46,46
"Fiji",4.28571428571429,4.28571428571429,11.2676056338028,NaN,5.71428571428571,5.71428571428571,5.71428571428571,8.45070422535211,8.45070422535211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,16,16,16,19.6078431372549,19.6078431372549,19.6078431372549,21.5686274509804
