Date,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
01/14/2022,72.77,,,,,,,74.43,,,,,,71.0,,,,,,,,,,,26.78
01/15/1993,,,30.34,,-2.65,-6.43,-40.95,,-18.25,1.87,-19.09,-49.68,-7.03,,-43.51,229.71,-33.18,-52.87,1.55,-31.49,,-10.33,-22.74,-19.55,-58.61
01/15/1998,-4.51,,,,,,,,,,,,,,,,,,,,,,,,
01/15/1999,,13.66,-25.16,-5.11,,23.37,7.05,-26.58,-38.25,-1.73,127.81,-38.28,-29.93,,-27.81,-6.69,-13.98,52.73,-24.85,,77.3,5.37,-9.54,-6.55,
01/15/2004,-30.61,,,,,,,,,,,,,,,,,83.23,,,,,,,
01/15/2005,,-51.39,2.69,58.44,941.8499999999999,4.04,-48.03,,24.75,16.65,50.019999999999996,-178.7,50.33,73.25999999999999,-65.34,145.44,3.3200000000000003,34.43,-2.9200000000000004,30.61,44.77,41.06,18.37,20.11,-65.71
01/15/2011,,75.95,-28.02,36.32,,71.57,,9.94,-49.74,15.92,229.88,44.93,17.77,4.21,-14.19,28.79,13.16,,-35.4,36.42,118.89,39.86,22.75,23.54,
01/15/2013,27.79,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2017,,93.58,48.77,47.68,291.67,60.88,40.6,21.23,75.06,47.37,125.78,18.83,54.56,35.9,23.73,108.2,57.38,-45.53,,62.93,119.4,65.29,55.5,54.58,29.38
01/16/1993,-52.71,-114.94,,-9.91,,,,-7.68,,,,,,-8.43,,,,,,,,,,,
01/16/1994,,,,,-113.15,,,,,,,,,,,,,,,-23.39,,,,,
01/16/1999,-36.11,,,,,,,,,,,,,-2.03,,,,,,,,,,,-52.91
01/16/2000,,,,,282.95,,,,,,,,,,,67.11,,,,-13.69,,,,,
01/16/2005,-99.11,,-15.06,,,,,-6.46,,,,,,,,131.31,,,,,,,,,-67.89
01/16/2006,,8.81,,,-35.1,42.64,,,,,,-53.22,,,,,,,-15.07,43.51,,,,,
01/16/2011,84.53,,,,,,,,,,,,,,,,,,,,,,,,-94.94
01/16/2012,,,,,419.05,,,,,,,,,,,132.79,,-29.07,25.3,26.82,,,,,
01/16/2013,,,,,,,,,,,,,,,,,,,,,107.67,,,,
01/16/2017,22.27,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2018,,6.98,14.37,,95.07,23.68,55.5,,15.26,,151.38,60.73,,,,,,,-27.6,21.93,,,,,
01/17/1994,,-55.54,8.84,-21.01,,29.27,-22.65,-18.98,-63.55,-15.33,-0.79,-5.38,-13.73,-31.83,-28.61,-29.79,-15.68,89.53,7.95,,-8.2,-13.63,-14.14,-16.15,-36.81
01/17/1995,,,,,,,,,,,,,,,,,,,,-15.79,,,,,
01/17/2000,,-45.74,-16.06,13.79,,8.27,-26.25,-31.38,-16.35,7.27,98.51,-49.08,-19.53,22.77,-7.91,,-17.48,87.83,26.15,,37.5,15.37,-12.34,-2.85,
01/17/2006,,,14.99,14.85,,,24.62,-8.98,-55.8,18.48,103.41,,3.76,3.89,-7.43,1.44,12.1,-97.67,,,11.57,22.69,15.81,14.56,-0.49
01/17/2012,,64.65,45.78,33.52,,44.07,34.42,6.34,-4.44,43.32,180.38,-21.87,22.67,9.91,10.21,,24.76,,,,53.79,48.76,32.65,32.94,
01/17/2013,,,12.59,41.45,14.35,30.64,9.82,38.22,,26.88,151.71,-5.12,31.16,17.39,21.57,,38.9,,7.93,,,53.59,36.51,38.16,-41.49
01/17/2018,,,,71.58,,,,26.73,,57.17,,,50.56,67.1,28.03,20.2,51.58,-44.33,,,83.6,74.49,55.1,57.48,-94.92
01/18/1994,12.39,,,,,,,,,,,,,,,,,,,,,,,,
01/18/1995,,-167.94,,,147.05,-57.93,,,,,,-73.08,,,,-64.29,,-16.47,-29.55,,-5.0,,,,
01/18/1996,,,,,-133.45,,,,,,,,,,,,,12.03,,,,,,,
01/18/2000,-33.11,,,,,,,,,,,,,,,,,,,,,,,,-11.61
01/18/2005,,,,,,,,,,,,,,,,,,34.53,,,,,,,
01/18/2007,,-101.79,-8.61,,462.6,-69.56,-13.88,,-16.7,19.28,25.61,-13.52,7.76,,-17.53,,12.4,,1.23,-5.69,44.47,28.09,12.41,14.96,
01/18/2010,128.99,0.01,20.99,,-180.0,18.64,26.72,,-41.2,22.58,72.01,103.78,38.36,,-4.63,,29.4,17.73,-46.97,38.91,100.97,33.39,30.71,26.56,-64.99
01/18/2012,-12.97,,,,,,,,,,,,,,,,,,,,,,,,3.76
01/18/2013,,139.36,31.98,37.82,-39.4,34.87,4.22,,45.459999999999994,27.32,178.28,-10.37,36.17,,22.61,-150.57,40.06,-40.17,13.9,112.33000000000001,121.49,51.76,38.95,38.74,
01/18/2018,39.57,,,,,,,,,,,,,,,,,,,,,,,,
01/18/2019,,-33.22,66.07,68.98,145.97,49.08,44.2,,35.96,64.07,71.08,29.93,68.16,51.8,37.03,42.0,61.48,-27.63,68.3,102.33,118.6,83.49,61.7,63.58,
01/19/1995,,,-16.86,-23.51,,,-6.55,-19.38,-67.45,-0.83,-9.89,,3.37,-23.73,-37.71,,-15.08,,,,,-6.13,-15.84,-15.75,-89.71
01/19/1996,,-81.44,,,,,,,,,,,,,,-23.79,,,,3.01,,,,,
01/19/2002,,,,,54.25,,,,,,,,,,,,,,,,,,,,
01/19/2006,-38.41,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2007,,,,20.65,,,,-15.08,,,,,,7.59,,121.44,,-101.67,,,,,,,-34.99
01/19/2008,,,,,,,,,,,,,,,,,,,,23.81,,,,,
01/19/2010,,,,19.65,,,,-11.58,,,,,,-11.21,,-45.06,,,,,,,,,
01/19/2011,38.29,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2013,75.43,,,,,,,29.74,,,,,,11.91,,,,-38.37,,,,,,,-31.64
01/19/2014,,,,,152.35,,,,,,,,,,,-179.61,,,,37.72,,,,,
01/19/2017,8.63,,,,309.05,,,,,,136.08,,,,,,,,,51.42,141.09,,,,
01/19/2019,46.17,,,,,,,55.13,,,,,,,,,,,,,,,,,-26.72
01/19/2020,,-94.62,,,,,,,,,,,,,,,,,27.7,22.33,,,,,
01/20/1995,-19.41,,,,,,,,,,,,,,,,,,,,,,,,
01/20/1996,,,-5.36,-15.81,,-4.03,51.15,-26.48,-40.95,-3.33,56.81,-15.18,-8.33,-31.03,-27.81,,-14.08,,-27.55,,-6.9,-2.03,-13.44,-11.55,
01/20/2002,,-257.73,-16.37,2.84,78.8,-17.49,-77.43,-2.78,-85.65,42.05,59.120000000000005,-88.30000000000001,7.63,-13.94,-31.94,134.45,-1.1799999999999997,32.96,-30.52,-33.88,27.47,50.16,-7.73,5.71,
01/20/2003,,,,,,-22.93,,,,,,,,,,,,,,,,,,,
01/20/2007,-18.61,,,,,,,,,,,,,,,,,,,,,,,,
01/20/2008,,4.61,34.99,22.75,25.8,14.24,-5.48,4.62,-9.1,35.18,124.81,19.18,6.16,9.39,-5.33,112.44,13.3,49.73,17.23,,79.97,41.99,18.71,22.26,-19.39
01/20/2011,,79.61,-20.21,22.05,55.1,70.44,47.32,-0.98,-59.3,12.98,226.21,5.98,24.26,-7.81,2.27,72.74,16.5,57.03,-19.77,97.01,149.37,32.39,24.21,22.46,-55.39
01/20/2014,,-44.45,35.18,33.82,,51.37,-15.68,18.34,-11.24,53.42,147.48,8.23,35.27,14.61,2.61,,33.46,20.03,4.4,,104.29,54.76,39.35,38.34,
01/20/2015,,,,,428.15,,,,,,,,,,,,,,,,,,,,
01/20/2017,,47.45,60.48,47.02,,63.17,9.42,16.14,41.06,42.92,,-18.77,56.07,28.51,22.71,93.79,57.86,,61.0,,,64.16,56.15,53.74,20.56
01/20/2020,,,71.27,80.18,472.47,10.78,62.9,74.33,95.16,64.37,66.18,-1.07,71.16,64.9,46.43,265.5,51.48,76.57,,,34.0,70.89,58.6,61.28,-31.62
01/21/1996,-7.31,,,,,,,,,,,,,,,,,,,,,,,,-47.81
01/21/1997,,,,,17.05,,,,,,,,,,,100.21,,,,,,,,,
01/21/2002,-34.61,,,,,,,-2.28,,,,,,,,,,,,,,,,,-130.10000000000002
01/21/2003,18.89,-81.09,,,69.6,-28.66,,,-39.2,,26.42,-40.22,,,,,,,-102.41999999999999,27.41,20.9,,,,
01/21/2008,21.29,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2009,,-111.14,,,-44.65,107.21000000000001,,,,,,-86.12,,,,-86.31,,69.23,-95.07,,,,,,
01/21/2012,-60.01,,,,,,27.32,,,,,-40.32,,,,,,-19.87,11.63,,45.07,,,,
